Training PPO 2 with the following parameter dict:
{'total_steps': 4000000.0, 'num_envs': 32, 'num_steps': 256, 'num_levels': 200, 'num_epochs': 3, 'batch_size': 512, 'eps': 0.2, 'grad_eps': 0.5, 'value_coef': 0.5, 'entropy_coef': 0.01, 'c1': 0.5, 'c2': 0.01, 'num_actions': 15, 'in_channels': 3, 'feature_dim': 64, 'env_name': 'starpilot', 'use_background': False}
stabelized  ppo
Observation space: Box([[[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]], [[[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]], (3, 64, 64), float32)
Action space: 15
Step: 8192	Mean reward: 4.1875	 Loss: 0.18196366727352142
Step: 16384	Mean reward: 4.09375	 Loss: 0.07627986371517181
Step: 24576	Mean reward: 5.5625	 Loss: 0.08487831801176071
Step: 32768	Mean reward: 6.25	 Loss: 0.09723743796348572
Step: 40960	Mean reward: 5.71875	 Loss: -0.07345867902040482
Step: 49152	Mean reward: 6.65625	 Loss: 0.02405683696269989
Step: 57344	Mean reward: 6.65625	 Loss: 0.030820630490779877
Step: 65536	Mean reward: 6.28125	 Loss: 0.060712650418281555
Step: 73728	Mean reward: 6.875	 Loss: -0.0032270383089780807
Step: 81920	Mean reward: 7.9375	 Loss: 0.017979225143790245
Step: 90112	Mean reward: 7.28125	 Loss: 0.07633548974990845
Step: 98304	Mean reward: 7.125	 Loss: 0.005044868215918541
Step: 106496	Mean reward: 7.34375	 Loss: 0.004134051501750946
Step: 114688	Mean reward: 8.34375	 Loss: 0.04423968493938446
Step: 122880	Mean reward: 8.6875	 Loss: 0.0432809442281723
Step: 131072	Mean reward: 8.46875	 Loss: 0.07696722447872162
Step: 139264	Mean reward: 9.40625	 Loss: 0.032139673829078674
Step: 147456	Mean reward: 8.625	 Loss: -9.165890514850616e-05
Step: 155648	Mean reward: 8.90625	 Loss: -0.062053319066762924
Step: 163840	Mean reward: 8.28125	 Loss: -0.003581356257200241
Step: 172032	Mean reward: 9.34375	 Loss: 0.08706537634134293
Step: 180224	Mean reward: 9.375	 Loss: 0.039794255048036575
Step: 188416	Mean reward: 9.65625	 Loss: -0.019028084352612495
Step: 196608	Mean reward: 9.25	 Loss: -0.014998231083154678
Step: 204800	Mean reward: 9.46875	 Loss: -0.003596227616071701
Step: 212992	Mean reward: 10.34375	 Loss: 0.02411552146077156
Step: 221184	Mean reward: 10.5625	 Loss: 0.024185121059417725
Step: 229376	Mean reward: 9.90625	 Loss: -0.028401697054505348
Step: 237568	Mean reward: 9.5	 Loss: 0.0027077794075012207
Step: 245760	Mean reward: 8.5	 Loss: -0.058020491153001785
Step: 253952	Mean reward: 9.59375	 Loss: 0.016339613124728203
Step: 262144	Mean reward: 10.625	 Loss: 0.051755353808403015
Step: 270336	Mean reward: 10.15625	 Loss: -0.04870719462633133
Step: 278528	Mean reward: 10.21875	 Loss: 0.0005131177604198456
Step: 286720	Mean reward: 9.84375	 Loss: 0.08492784202098846
Step: 294912	Mean reward: 9.59375	 Loss: 0.023236047476530075
Step: 303104	Mean reward: 10.375	 Loss: 0.03372997045516968
Step: 311296	Mean reward: 10.75	 Loss: -0.018196741119027138
Step: 319488	Mean reward: 9.40625	 Loss: 0.013896306976675987
Step: 327680	Mean reward: 9.5625	 Loss: -0.0164343249052763
Step: 335872	Mean reward: 10.40625	 Loss: 0.08812215924263
Step: 344064	Mean reward: 9.71875	 Loss: 0.03374912589788437
Step: 352256	Mean reward: 10.59375	 Loss: 0.0452922061085701
Step: 360448	Mean reward: 10.6875	 Loss: -0.033029183745384216
Step: 368640	Mean reward: 11.3125	 Loss: 0.04006589949131012
Step: 376832	Mean reward: 11.53125	 Loss: 0.03502477705478668
Step: 385024	Mean reward: 10.25	 Loss: 0.020813826471567154
Step: 393216	Mean reward: 11.1875	 Loss: -0.05255104601383209
Step: 401408	Mean reward: 11.625	 Loss: -0.03775665909051895
Step: 409600	Mean reward: 11.59375	 Loss: -0.08155979216098785
Step: 417792	Mean reward: 12.15625	 Loss: -0.00901053473353386
Step: 425984	Mean reward: 11.375	 Loss: -0.04271787405014038
Step: 434176	Mean reward: 10.5	 Loss: 0.09035880863666534
Step: 442368	Mean reward: 10.75	 Loss: 0.10478825867176056
Step: 450560	Mean reward: 11.53125	 Loss: -0.0217521321028471
Step: 458752	Mean reward: 10.46875	 Loss: -0.02871657907962799
Step: 466944	Mean reward: 10.6875	 Loss: -0.04244733974337578
Step: 475136	Mean reward: 12.28125	 Loss: -0.034430086612701416
Step: 483328	Mean reward: 11.34375	 Loss: -0.01938348263502121
Step: 491520	Mean reward: 10.25	 Loss: -0.04534143581986427
Step: 499712	Mean reward: 10.0	 Loss: 0.028622234240174294
Step: 507904	Mean reward: 11.46875	 Loss: -0.05532049760222435
Step: 516096	Mean reward: 11.59375	 Loss: -0.053579870611429214
Step: 524288	Mean reward: 10.6875	 Loss: -0.015922000631690025
Step: 532480	Mean reward: 10.46875	 Loss: -0.058733485639095306
Step: 540672	Mean reward: 10.78125	 Loss: -0.06109188124537468
Step: 548864	Mean reward: 11.5625	 Loss: 0.10345355421304703
Step: 557056	Mean reward: 11.9375	 Loss: 0.039833422750234604
Step: 565248	Mean reward: 12.09375	 Loss: -0.0736168771982193
Step: 573440	Mean reward: 11.25	 Loss: -0.031995512545108795
Step: 581632	Mean reward: 10.125	 Loss: -0.07224690169095993
Step: 589824	Mean reward: 11.125	 Loss: -0.0770905539393425
