Training IMPALA 1 with the following parameter dict:
{'total_steps': 9000000.0, 'num_envs': 32, 'num_steps': 256, 'num_levels': 200, 'num_epochs': 3, 'batch_size': 512, 'eps': 0.2, 'grad_eps': 0.5, 'value_coef': 0.5, 'entropy_coef': 0.01, 'c1': 0.5, 'c2': 0.01, 'num_actions': 15, 'in_channels': 3, 'feature_dim': 64, 'env_name': 'starpilot', 'use_background': False}
non stabilized impala
Observation space: Box([[[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]], [[[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]], (3, 64, 64), float32)
Action space: 15
Step: 8192	Mean reward: 4.78125	 Loss: 0.30865126848220825
Step: 16384	Mean reward: 5.03125	 Loss: 0.04267723113298416
Step: 24576	Mean reward: 4.375	 Loss: 0.015356363728642464
Step: 32768	Mean reward: 6.25	 Loss: 0.03731096535921097
Step: 40960	Mean reward: 5.3125	 Loss: 0.07872681319713593
Step: 49152	Mean reward: 6.375	 Loss: -0.02119593881070614
Step: 57344	Mean reward: 6.5	 Loss: 0.04253075271844864
Step: 65536	Mean reward: 7.15625	 Loss: -0.010541930794715881
Step: 73728	Mean reward: 8.75	 Loss: 0.024030905216932297
Step: 81920	Mean reward: 7.8125	 Loss: -0.03817148506641388
Step: 90112	Mean reward: 8.3125	 Loss: -0.006075777113437653
Step: 98304	Mean reward: 8.125	 Loss: -0.01673324592411518
Step: 106496	Mean reward: 9.1875	 Loss: 0.009174738079309464
Step: 114688	Mean reward: 8.65625	 Loss: 0.024976253509521484
Step: 122880	Mean reward: 8.90625	 Loss: 0.02084176056087017
Step: 131072	Mean reward: 8.875	 Loss: 0.02996710129082203
Step: 139264	Mean reward: 9.40625	 Loss: 0.01024017296731472
Step: 147456	Mean reward: 10.21875	 Loss: 0.08860625326633453
Step: 155648	Mean reward: 10.375	 Loss: 0.039687320590019226
Step: 163840	Mean reward: 10.40625	 Loss: -0.033460646867752075
Step: 172032	Mean reward: 9.65625	 Loss: -0.03824404627084732
Step: 180224	Mean reward: 11.1875	 Loss: 0.031963251531124115
Step: 188416	Mean reward: 10.4375	 Loss: 0.03891561180353165
Step: 196608	Mean reward: 10.1875	 Loss: 0.049264095723629
Step: 204800	Mean reward: 11.40625	 Loss: 0.045063942670822144
Step: 212992	Mean reward: 9.875	 Loss: -0.04572437331080437
Step: 221184	Mean reward: 12.03125	 Loss: -0.0021702051162719727
Step: 229376	Mean reward: 11.03125	 Loss: 0.022250989452004433
Step: 237568	Mean reward: 11.4375	 Loss: -0.06036822497844696
Step: 245760	Mean reward: 10.6875	 Loss: -0.04037784785032272
Step: 253952	Mean reward: 11.15625	 Loss: -0.021492864936590195
Step: 262144	Mean reward: 10.1875	 Loss: -0.061487164348363876
Step: 270336	Mean reward: 11.46875	 Loss: -0.052127908915281296
Step: 278528	Mean reward: 9.6875	 Loss: 0.059083759784698486
