Training IMPALA 2 with the following parameter dict:
{'total_steps': 4000000.0, 'num_envs': 32, 'num_steps': 256, 'num_levels': 200, 'num_epochs': 3, 'batch_size': 512, 'eps': 0.2, 'grad_eps': 0.5, 'value_coef': 0.5, 'entropy_coef': 0.01, 'c1': 0.5, 'c2': 0.01, 'num_actions': 15, 'in_channels': 3, 'feature_dim': 64, 'env_name': 'starpilot', 'use_background': False}
stabelized  impala
Observation space: Box([[[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]], [[[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]], (3, 64, 64), float32)
Action space: 15
Step: 8192	Mean reward: 3.8125	 Loss: 0.19614143669605255
Step: 16384	Mean reward: 3.71875	 Loss: 0.06841189414262772
Step: 24576	Mean reward: 5.78125	 Loss: -0.0019805431365966797
Step: 32768	Mean reward: 5.125	 Loss: -0.015515366569161415
Step: 40960	Mean reward: 6.09375	 Loss: -0.051900796592235565
Step: 49152	Mean reward: 5.21875	 Loss: -0.06367600709199905
Step: 57344	Mean reward: 5.28125	 Loss: -0.04154530167579651
Step: 65536	Mean reward: 7.46875	 Loss: -0.07631026953458786
Step: 73728	Mean reward: 6.6875	 Loss: -0.029615245759487152
Step: 81920	Mean reward: 6.875	 Loss: -0.09362480044364929
Step: 90112	Mean reward: 7.5	 Loss: -0.0933147594332695
Step: 98304	Mean reward: 6.5	 Loss: -0.07236261665821075
Step: 106496	Mean reward: 6.8125	 Loss: -0.06281046569347382
Step: 114688	Mean reward: 7.25	 Loss: -0.1247263103723526
Step: 122880	Mean reward: 7.6875	 Loss: -0.07723090052604675
Step: 131072	Mean reward: 6.96875	 Loss: -0.00826757587492466
Step: 139264	Mean reward: 7.5	 Loss: -0.14000928401947021
Step: 147456	Mean reward: 6.875	 Loss: -0.12879522144794464
Step: 155648	Mean reward: 7.8125	 Loss: -0.01750878244638443
Step: 163840	Mean reward: 7.53125	 Loss: -0.15693382918834686
Step: 172032	Mean reward: 7.8125	 Loss: -0.0839637890458107
Step: 180224	Mean reward: 8.25	 Loss: -0.04461972042918205
Step: 188416	Mean reward: 7.78125	 Loss: -0.07794855535030365
Step: 196608	Mean reward: 8.625	 Loss: -0.09488540887832642
Step: 204800	Mean reward: 8.78125	 Loss: -0.07578520476818085
Step: 212992	Mean reward: 7.71875	 Loss: -0.027669522911310196
Step: 221184	Mean reward: 8.1875	 Loss: -0.08133100718259811
Step: 229376	Mean reward: 7.6875	 Loss: -0.09876016527414322
Step: 237568	Mean reward: 9.5	 Loss: -0.13442358374595642
Step: 245760	Mean reward: 7.625	 Loss: -0.20686525106430054
Step: 253952	Mean reward: 8.875	 Loss: -0.03415719419717789
Step: 262144	Mean reward: 9.0625	 Loss: -0.13530892133712769
Step: 270336	Mean reward: 8.625	 Loss: -0.05805177986621857
Step: 278528	Mean reward: 9.0625	 Loss: -0.058742374181747437
